Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol-1];Catalyst ID;Active Site Density [µmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gCH3OH gcat-1 hr-1];Temperature [K];Total Pressure [kPa];Inlet Inert Used;Inert, Inlet Mole fraction [%] ;CO, Inlet Mole fraction [%];CH4, Inlet Mole Fraction [%];Methanol, Inlet Mole fraction [%];Inlet P,Methanol [kPa];Inlet Inert Flow Rate [sccm];Total Inlet Flow Rate [mol/hr];Reactor Configuration;Reactor ID;Rate [μmol product gcat-1min-1];Confidence Interval for Rate [μmol gcat-1 min-1];STY [mol product mol active site-1 hr-1 ];Selectivity CO [%];Selectivity CH4 [%];Selectivity CO2 [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier;;;;;;;;;;;
MDH-0035;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.46;0.09;0.54;68;0;32;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0036;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;0.16;0.09;0.18;51;0;49;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0037;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;0.20;0.09;0.23;51;0;49;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0038;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;0.39;0.09;0.46;56;0;44;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0039;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.20;0.14;0.54;48;0;52;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0040;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.14;0.14;0.38;39;0;61;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0041;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.17;0.14;0.44;46;0;54;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0042;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.25;0.14;0.66;61;0;39;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0043;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.31;0.14;0.81;64;0;36;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0044;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;0.15;0.14;0.39;42;0;58;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
