Unique Identifier,Metal,Support,Weight loading [%],Molecular Weight of Active component [g mol-1],Catalyst ID,Active Site Density [umol gcat-1],Dispersion [%],Method of determining Active Site Density,Pellet Diameter [µm],WHSV [g reactant gcat-1 hr-1],Temperature [K],Total Pressure [kPa],Inlet Inert Used,"Inert, Inlet Mole fraction [%]","CO, Inlet Mole fraction [%]","CH4, Inlet Mole Fraction [%]","Methanol, Inlet Mole fraction [%]","Inlet P, Methanol [kPa]",Inlet Inert Flow Rate [sccm],Total Inlet Flow Rate [mol/hr],Reactor Configuration,Reactor ID,Rate [umol gcat-1 min-1],Confidence Interval for Rate [μmol gcat-1 min-1],STY [mol product mol active site-1 hr-1 ],Selectivity CO [%],Selectivity CH4 [%],Selectivity CO2 [%],Conversion [%],Data Source,Data Submitted By,Funding Agency,Funding Identifier,Reaction,"Formic Acid, Inlet Mole fraction [%]","CO2, Inlet Mole fraction [%]","H2, Inlet Mole fraction [%]","H2O, Inlet Mole fraction [%]",STY [mol product mol active site-1 hr-1],STY [mol CO2 mol active site-1 s-1],STY [mol CO mol active site-1 s-1]
MDH-0054,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,12.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,7.82,2.1,32.0,71.0,1.0,28.0,0.08,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0055,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,12.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,10.74,2.1,43.96,78.0,2.0,20.0,0.12,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0056,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,12.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,22.43,2.1,91.81,88.0,2.0,10.0,0.24,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0057,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,12.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,30.01,2.1,122.85,90.0,3.0,7.0,0.36,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0058,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,12.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,19.15,2.1,78.4,88.0,2.0,10.0,0.15,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0059,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,12.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,17.04,2.1,69.76,86.0,2.0,12.0,0.17,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0060,Platinum,Silica,1.0,195.08,Cat_M_000001,14.7,30.1,CO dynamic chemisorption,106 - 250,12.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,16.25,2.1,66.53,83.0,2.0,15.0,0.29,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0061,Platinum,Carbon,5.0,195.08,Cat_M_000004,73.0,28.5,CO dynamic chemisorption,106 - 250,11.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,23.79,14.54,19.54,82.0,0.0,18.0,0.12,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0062,Platinum,Carbon,5.0,195.08,Cat_M_000004,73.0,28.5,CO dynamic chemisorption,106 - 250,11.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,35.39,14.54,29.07,89.0,0.0,11.0,0.18,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0063,Platinum,Carbon,5.0,195.08,Cat_M_000004,73.0,28.5,CO dynamic chemisorption,106 - 250,11.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,81.24,14.54,66.73,95.0,0.0,5.0,0.41,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0064,Platinum,Carbon,5.0,195.08,Cat_M_000004,73.0,28.5,CO dynamic chemisorption,106 - 250,11.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,121.63,14.54,99.91,96.0,0.0,4.0,0.61,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0065,Platinum,Carbon,5.0,195.08,Cat_M_000004,73.0,28.5,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,62.56,14.54,51.39,93.0,0.0,7.0,0.24,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0066,Platinum,Carbon,5.0,195.08,Cat_M_000004,73.0,28.5,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,59.02,14.54,48.48,93.0,0.0,7.0,0.28,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0067,Platinum,Carbon,5.0,195.08,Cat_M_000004,73.0,28.5,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,51.78,14.54,42.53,92.0,0.0,8.0,0.47,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0068,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,9.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,4.55,3.46,34.76,50.0,0.0,50.0,0.04,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0069,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,9.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,7.41,3.46,56.58,64.0,0.0,36.0,0.07,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0070,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,9.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,20.05,3.46,153.17,83.0,0.0,17.0,0.16,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0071,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,9.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,33.55,3.46,256.22,88.0,0.0,12.0,0.27,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0072,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,15.57,3.46,118.89,78.0,0.0,22.0,0.07,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0073,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,13.56,3.46,103.6,71.0,0.0,29.0,0.07,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0074,Iridium,Carbon,1.0,192.22,Cat_M_000003,7.9,15.1,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,12.1,3.46,92.39,65.0,0.0,35.0,0.07,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0075,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,16.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,12.74,5.04,2.18,87.0,0.0,13.0,0.16,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0076,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,16.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,20.29,5.04,3.47,92.0,0.0,8.0,0.24,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0077,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,16.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,43.0,5.04,7.36,97.0,0.0,3.0,0.56,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0078,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,16.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,73.8,5.04,12.63,98.0,0.0,2.0,0.81,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0079,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,16.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,28.51,5.04,4.88,95.0,0.0,5.0,0.32,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0080,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,16.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,27.06,5.04,4.63,95.0,0.0,5.0,0.37,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0081,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,16.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,24.54,5.04,4.2,94.0,0.0,6.0,0.54,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0082,Nickel,Carbon,5.0,58.69,Cat_M_000014,1.7,0.2,CO dynamic chemisorption,106 - 250,16.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,1.31,0.54,45.96,93.0,0.0,7.0,0.02,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0083,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,99.1,0.0,0.0,0.9,0.91,,,"Downflow, Packed Bed",PBR_000002,20.76,,92.6,92.0,8.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0084,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,98.76,0.14,0.0,1.1,1.11,,,"Downflow, Packed Bed",PBR_000002,12.38,,55.2,93.0,7.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0085,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,98.85,0.0,0.25,0.9,0.91,,,"Downflow, Packed Bed",PBR_000002,20.99,,93.6,90.0,10.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0086,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,90.3,0.0,0.0,9.7,9.83,,,"Downflow, Packed Bed",PBR_000002,28.95,,129.1,93.0,7.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0087,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,89.39,0.01,0.0,10.6,10.74,,,"Downflow, Packed Bed",PBR_000002,29.62,,132.1,91.0,9.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0088,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,89.68,0.02,0.0,10.3,10.44,,,"Downflow, Packed Bed",PBR_000002,26.82,,119.6,92.0,8.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0089,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,89.46,0.14,0.0,10.4,10.54,,,"Downflow, Packed Bed",PBR_000002,20.43,,91.1,92.0,8.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0090,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,473,101.33,Helium,88.94,0.0,0.36,10.7,10.84,,,"Downflow, Packed Bed",PBR_000002,31.12,,138.8,90.0,10.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0091,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,99.1,0.0,0.0,0.9,0.91,,,"Downflow, Packed Bed",PBR_000002,38.12,,170.0,92.0,8.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0092,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,98.98,0.12,0.0,0.9,0.91,,,"Downflow, Packed Bed",PBR_000002,31.84,,142.0,93.0,7.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0093,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,98.61,0.0,0.49,0.9,0.91,,,"Downflow, Packed Bed",PBR_000002,42.51,,189.6,91.0,9.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0094,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,89.8,0.0,0.0,10.2,10.34,,,"Downflow, Packed Bed",PBR_000002,67.2,,299.7,93.0,7.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0095,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,89.47,0.13,0.0,10.4,10.54,,,"Downflow, Packed Bed",PBR_000002,59.38,,264.8,93.0,7.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0096,Platinum,Silica,3.1,195.08,Cat_M_000002,14.0,8.5,CO static chemisorption,<1000,,498,101.33,Helium,88.43,0.0,0.77,10.8,10.94,,,"Downflow, Packed Bed",PBR_000002,68.57,,305.8,91.0,9.0,0.0,<5,10.1007/s11244-006-0001-1,0000-0002-9114-555X,National Science Foundation,CTS-0327959,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
FAD-0001,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,358,101.33,Helium,97.39,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,91.91,,,0.82,,99.18,3.3,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,206.89,0.06,0.0005
FAD-0002,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,363,101.33,Helium,97.39,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,141.95,,,0.86,,99.14,5.1,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,319.54,0.09,0.0008
FAD-0003,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,368,101.33,Helium,97.39,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,175.94,,,0.92,,99.08,6.32,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,396.04,0.11,0.001
FAD-0004,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,97.39,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,240.55,,,0.94,,99.06,8.64,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,541.48,0.15,0.0014
FAD-0005,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,378,101.33,Helium,97.39,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,308.44,,,0.96,,99.04,11.08,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,694.3,0.19,0.0019
FAD-0006,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,3.8,373,101.33,Helium,98.7,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,232.56,,,0.97,,99.03,16.71,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,1.3,0.0,0.0,0.0,523.48,0.14,0.0014
FAD-0007,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,11.5,373,101.33,Helium,96.09,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,243.94,,,1.0,,99.0,5.84,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,3.91,0.0,0.0,0.0,549.11,0.15,0.0015
FAD-0008,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,15.4,373,101.33,Helium,92.46,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,255.3,,,1.02,,98.98,4.57,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,5.1,0.0,2.44,0.0,574.67,0.16,0.0016
FAD-0009,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,92.57,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,195.66,,,1.1,,98.9,7.03,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.54,0.0,4.88,0.0,440.42,0.12,0.0013
FAD-0010,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,87.99,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,185.98,,,1.11,,98.89,6.68,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.48,0.0,9.52,0.0,418.64,0.12,0.0013
FAD-0011,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,97.1,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,171.53,,,1.17,,98.83,6.16,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.9,0.0,0.0,0.0,386.1,0.11,0.0013
FAD-0012,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,94.89,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,246.9,,,0.89,,99.11,8.87,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,2.5,0.0,0.0,555.77,0.15,0.0014
FAD-0013,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,92.38,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,240.46,,,0.9,,99.1,8.64,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,5.01,0.0,0.0,541.26,0.15,0.0014
FAD-0014,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,87.39,0.0,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,243.77,,,0.93,,99.07,8.76,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,10.0,0.0,0.0,548.71,0.15,0.0014
FAD-0015,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,97.36,0.03,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,35.18,,,,,,1.26,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,79.2,0.02,-
FAD-0016,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,97.35,0.04,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,23.99,,,,,,0.86,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,54.0,0.02,-
FAD-0017,Platinum,Carbon,1.0,195.08,Cat_M_000010,26.7,52.0,Transmission Electron Microscopy,,7.7,373,101.33,Helium,97.29,0.1,0.0,0.0,0.0,,,Downflow; Packed Bed,PBR_000003,14.39,,,,,,0.52,10.1021/acscatal.9b05424,0000-0002-9114-555X,Department of Energy,DE-FG02-05ER15731,Formic Acid Decomposition,2.61,0.0,0.0,0.0,32.4,0.01,-
