Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol⁻¹];Catalyst ID;Active Site Density [μmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gHCOOH gcat⁻¹ hr⁻¹];Temperature [K];Total Pressure [kPa];Inert Used;Formic Acid, Inlet Mol fraction [%];CO, Inlet Mol fraction [%];CO₂, Inlet Mol fraction [%];H₂, Inlet Mol fraction [%];H₂O, Inlet Mol fraction [%];Inert, Inlet Mol fraction [%];Reactor Configuration;Reactor ID;Rate [μmol gcat⁻¹ min⁻¹];STY [mol product mol active site⁻¹ hr⁻¹ ];STY [mol CO2 mol active site-1 s-1];STY [mol CO mol active site-1 s-1];Selectivity CO₂ [%];Selectivity CO [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier
FAD-0027;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;11.7;373;101.33;Helium;1.97;0;0;0;0;98.03;"Downflow; Packed Bed";PBR_000004;434.35;616.32;0.17;0.0012;99.3;0.7;10.25;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0028;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;19.3;373;101.33;Helium;3.25;0;0;0;0;96.75;"Downflow; Packed Bed";PBR_000004;409.24;580.68;0.16;0.0013;99.19;0.81;5.87;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0029;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.1;373;101.33;Helium;2.61;0;0;0;0.02;97.36;"Downflow; Packed Bed";PBR_000004;434.35;616.32;0.17;0.0012;99.3;0.7;7.93;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0030;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.1;373;101.33;Helium;2.61;0;0;0;0.02;97.36;"Downflow; Packed Bed";PBR_000004;409.24;580.68;0.16;0.0013;99.19;0.81;7.47;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0031;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.1;373;101.33;Helium;2.61;0;0;0;0.04;97.35;"Downflow; Packed Bed";PBR_000004;409.24;580.68;0.16;0.0013;99.19;0.81;7.47;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0032;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.1;373;101.33;Helium;2.61;0;0;0;0.06;97.33;"Downflow; Packed Bed";PBR_000004;408.98;580.32;0.16;0.0012;99.26;0.74;7.46;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0033;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.2;373;101.33;Helium;2.61;0;0;9.48;0;87.91;"Downflow; Packed Bed";PBR_000004;359;509.4;0.14;0.0015;98.94;1.06;6.52;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0034;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.2;373;101.33;Helium;2.61;0;0;14.23;0;83.17;"Downflow; Packed Bed";PBR_000004;282.89;401.4;0.11;0.0015;98.65;1.35;5.14;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0035;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.2;373;101.33;Helium;2.61;0;0;23.71;0;73.68;"Downflow; Packed Bed";PBR_000004;257.77;365.76;0.1;0.0016;98.43;1.57;4.68;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0036;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;14.4;373;101.33;Helium;2.61;0;3.62;0;0;93.77;"Downflow; Packed Bed";PBR_000004;383.87;544.68;0.15;0.0013;99.14;0.86;7.34;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0037;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;14.4;373;101.33;Helium;2.61;0;7.22;0;0;90.17;"Downflow; Packed Bed";PBR_000004;409.24;580.68;0.16;0.0013;99.19;0.81;7.83;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0038;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;14.4;373;101.33;Helium;2.61;0;10.78;0;0;86.61;"Downflow; Packed Bed";PBR_000004;409.49;581.04;0.16;0.0014;99.13;0.87;7.83;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0039;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;14.4;373;101.33;Helium;2.61;0;14.61;0;0;82.78;"Downflow; Packed Bed";PBR_000004;384.37;545.4;0.15;0.0015;99.01;0.99;7.35;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0040;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.1;373;101.33;Helium;2.62;0.02;0;0;0;97.36;"Downflow; Packed Bed";PBR_000004;101.48;144;0.04;-;N/A;N/A;1.86;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0041;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.1;373;101.33;Helium;2.62;0.05;0;0;0;97.34;"Downflow; Packed Bed";PBR_000004;50.74;72;0.02;-;N/A;N/A;0.93;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
